experiment,test_acc,test_auc,precision,recall,average_precision,mcc
flux_1_dev__vs__real,0.502,0.5206059999999999,0.8333333333333334,0.005,0.5273860025502543,0.0365697329692419
sd_1_5__vs__real,0.515,0.796446,0.96875,0.031,0.794566893477364,0.11954563369937593
sd_3_5_large__vs__real,0.5015,0.610824,0.8,0.004,0.5978695638592837,0.030037570459305534
sdxl_turbo__vs__real,0.5015,0.6734340000000001,0.8,0.004,0.6578649513287471,0.030037570459305534
z_image_turbo__vs__real,0.5,0.5898700000000001,0.5,0.001,0.5906425321718421,0.0
flux_fill_real_rescaled__vs__real,0.5005,0.5362079999999999,0.6666666666666666,0.002,0.5358785917781788,0.012919637852123087
flux_fill_flux_1_dev__vs__real,0.5025,0.539378,0.8571428571428571,0.006,0.546095815776724,0.04233185842300921
flux_fill_sd_3_5_large__vs__real,0.502,0.627762,0.8333333333333334,0.005,0.6162754690759109,0.0365697329692419
flux_fill_real_rescaled__vs__real_rescaled,0.501,0.5608110000000001,1.0,0.002,0.5574786486382717,0.03163859985841663
flux_fill_flux_1_dev__vs__flux_1_dev,0.5005,0.519178,0.5454545454545454,0.006,0.5199797158154288,0.00676061595262364
flux_fill_sd_3_5_large__vs__sd_3_5_large,0.5005,0.5179530000000001,0.5555555555555556,0.005,0.5170502697039338,0.007470387248392133
